11
M1 Mendeleev H t-d start left
M2 Mendeleev H t-d start right
M3 Mendeleev H d-t start left
M4 Mendeleev H d-t start right
M5 Mendeleev Pettifor
M6 Mendeleev Pettifor regular
M7 Mendeleev chemists sequence
M8 Mendeleev t-d start left
M9 Mendeleev t-d start right
M10 Mendeleev d-t start left
M11 Mendeleev d-t start right
H ;92;7;97;12;103;13;2;1;97;7;103
He;98;1;103;6;1;1;91;98;1;103;6
Li;1;98;6;103;12;12;8;2;98;6;102
Be;7;92;12;97;77;19;14;8;91;13;96
B ;72;28;76;32;85;80;93;73;27;77;31
C ;77;23;81;27;95;85;99;78;22;82;26
N ;82;18;86;22;100;90;103;83;17;87;21
O ;97;13;91;17;101;95;105;88;12;92;16
F ;93;8;96;11;102;100;106;93;7;97;11
Ne;99;2;102;5;2;2;90;99;2;102;5
Na;2;99;5;102;11;11;7;3;99;5;101
Mg;8;93;11;96;73;18;13;9;92;12;95
Al;73;29;75;31;80;79;77;74;28;76;30
Si;78;24;80;26;85;84;92;79;23;81;25
P ;83;19;85;21;90;89;95;84;18;86;20
S ;88;14;90;16;94;94;100;89;13;91;15
Cl;94;9;95;10;99;99;104;94;8;96;10
Ar;100;3;101;4;3;3;89;100;3;101;4
K ;3;100;4;101;10;10;6;4;100;4;100
Ca;9;94;10;95;16;17;12;10;93;11;94
Sc;13;88;16;91;19;35;25;14;87;17;90
Ti;45;57;47;59;51;51;56;46;56;48;58
V ;48;54;50;56;54;54;61;49;53;51;55
Cr;51;51;53;53;57;57;62;52;50;54;52
Mn;54;48;56;50;60;60;65;55;47;57;49
Fe;57;45;59;47;61;63;68;58;44;60;46
Co;60;42;62;44;64;66;71;61;41;63;43
Ni;63;39;65;41;67;69;74;64;38;66;40
Cu;66;36;68;38;72;72;16;67;35;69;37
Zn;69;33;71;35;76;75;18;70;32;72;34
Ga;74;30;74;30;81;78;78;75;29;75;29
Ge;79;25;79;25;84;83;82;80;24;80;24
As;84;20;84;20;89;88;94;85;19;85;19
Se;89;15;89;15;93;93;98;90;14;90;14
Br;95;10;94;9;98;98;100;95;9;95;9
Kr;101;4;100;3;4;4;88;101;4;100;3
Rb;4;101;3;100;9;9;5;5;101;3;99
Sr;10;95;9;94;15;16;11;11;94;10;93
Y ;14;89;15;90;25;48;24;15;88;16;89
Zr;46;58;46;58;49;50;55;47;57;47;57
Nb;49;55;49;55;53;53;60;50;54;50;54
Mo;52;52;52;52;56;56;64;53;51;53;51
Tc;55;49;55;49;59;59;67;56;48;56;48
Ru;58;46;58;46;62;62;70;59;45;59;45
Rh;61;43;61;43;65;65;73;62;42;62;42
Pd;64;40;64;40;69;68;76;65;39;65;39
Ag;67;37;67;37;71;71;15;68;36;68;36
Cd;70;34;70;34;75;74;19;71;33;71;33
In;75;31;73;29;79;77;79;76;30;74;28
Sn;80;26;78;24;83;82;81;81;25;79;23
Sb;85;21;83;19;88;87;84;86;20;84;18
Te;90;16;88;14;92;92;96;91;15;89;13
I ;96;11;93;8;97;97;101;96;10;94;8
Xe;102;5;99;2;5;5;87;102;5;99;2
Cs;5;102;2;99;8;8;4;6;102;2;98
Ba;11;96;8;93;14;15;10;12;95;9;92
La;15;90;14;89;33;34;23;16;89;15;88
Ce;17;86;18;87;32;33;27;18;85;19;86
Pr;19;84;20;85;31;32;29;20;83;21;84
Nd;21;82;22;83;30;31;31;22;81;23;82
Pm;23;80;24;81;29;30;33;24;79;25;80
Sm;25;78;26;79;28;29;35;26;77;27;78
Eu;27;76;28;77;18;28;37;28;75;29;76
Gd;29;74;30;75;27;27;39;30;73;31;74
Tb;31;72;32;73;26;26;41;32;71;33;72
Dy;33;70;34;71;24;25;43;34;69;35;70
Ho;35;68;36;69;23;24;45;36;67;37;68
Er;37;66;38;67;22;23;47;38;65;39;66
Tm;39;64;40;65;21;22;49;40;63;41;64
Yb;41;62;42;63;17;21;51;42;61;43;62
Lu;43;60;44;61;20;20;53;44;59;45;60
Hf;47;59;45;57;50;49;54;48;58;46;56
Ta;50;56;48;54;52;52;59;51;55;49;53
W ;53;53;51;51;55;55;63;54;52;52;50
Re;56;50;54;48;58;58;66;57;49;55;47
Os;59;47;57;45;63;61;69;60;46;58;44
Ir;62;44;60;42;66;64;72;63;43;61;41
Pt;65;41;63;39;68;67;75;66;40;64;38
Au;68;38;66;36;70;70;17;69;37;67;35
Hg;71;35;69;33;74;73;20;72;34;70;32
Tl;76;32;72;28;78;76;21;77;31;73;27
Pb;81;27;77;23;82;81;80;82;26;78;22
Bi;86;22;82;18;87;86;83;87;21;83;17
Po;91;17;87;13;91;91;85;92;16;88;12
At;97;12;92;7;96;96;97;97;11;93;7
Rn;103;6;98;1;6;6;86;103;6;98;1
Fr;6;103;1;98;7;7;3;7;103;1;97
Ra;12;97;7;92;13;14;9;13;96;8;91
Ac;16;91;13;88;48;47;22;17;90;14;87
Th;18;87;17;86;47;46;26;19;86;18;85
Pa;20;85;19;84;46;45;28;21;84;20;83
U ;22;83;21;82;45;44;30;23;82;22;81
Np;24;81;23;80;44;43;32;25;80;24;79
Pu;26;79;25;78;43;42;34;27;78;26;77
Am;28;77;27;76;42;41;36;29;76;28;75
Cm;30;75;29;74;41;40;38;31;74;30;73
Bk;32;73;31;72;40;39;40;33;72;32;71
Cf;34;71;33;70;39;38;42;35;70;34;69
Es;36;69;35;68;38;37;44;37;68;36;67
Fm;38;67;37;66;37;36;46;39;66;38;65
No;0;0;0;0;0;0;102;0;0;0;0
